method k n time
reservoir_sample 1 5000 1
reservoir_sample_std 1 5000 50
reservoir_sample_std_iterator 1 5000 45
reservoir_sample 2 5000 3
reservoir_sample_std 2 5000 59
reservoir_sample_std_iterator 2 5000 35
reservoir_sample 4 5000 2
reservoir_sample_std 4 5000 25
reservoir_sample_std_iterator 4 5000 22
reservoir_sample 8 5000 2
reservoir_sample_std 8 5000 25
reservoir_sample_std_iterator 8 5000 23
reservoir_sample 16 5000 4
reservoir_sample_std 16 5000 24
reservoir_sample_std_iterator 16 5000 27
reservoir_sample 32 5000 8
reservoir_sample_std 32 5000 25
reservoir_sample_std_iterator 32 5000 25
reservoir_sample 64 5000 14
reservoir_sample_std 64 5000 26
reservoir_sample_std_iterator 64 5000 25
reservoir_sample 128 5000 24
reservoir_sample_std 128 5000 25
reservoir_sample_std_iterator 128 5000 30
reservoir_sample 256 5000 37
reservoir_sample_std 256 5000 27
reservoir_sample_std_iterator 256 5000 26
reservoir_sample 512 5000 58
reservoir_sample_std 512 5000 29
reservoir_sample_std_iterator 512 5000 28
reservoir_sample 1024 5000 81
reservoir_sample_std 1024 5000 34
reservoir_sample_std_iterator 1024 5000 32
reservoir_sample 2048 5000 94
reservoir_sample_std 2048 5000 42
reservoir_sample_std_iterator 2048 5000 40
reservoir_sample 1 7500 0
reservoir_sample_std 1 7500 18
reservoir_sample_std_iterator 1 7500 18
reservoir_sample 2 7500 0
reservoir_sample_std 2 7500 24
reservoir_sample_std_iterator 2 7500 23
reservoir_sample 4 7500 1
reservoir_sample_std 4 7500 29
reservoir_sample_std_iterator 4 7500 28
reservoir_sample 8 7500 2
reservoir_sample_std 8 7500 32
reservoir_sample_std_iterator 8 7500 32
reservoir_sample 16 7500 4
reservoir_sample_std 16 7500 34
reservoir_sample_std_iterator 16 7500 34
reservoir_sample 32 7500 8
reservoir_sample_std 32 7500 36
reservoir_sample_std_iterator 32 7500 35
reservoir_sample 64 7500 14
reservoir_sample_std 64 7500 36
reservoir_sample_std_iterator 64 7500 37
reservoir_sample 128 7500 25
reservoir_sample_std 128 7500 37
reservoir_sample_std_iterator 128 7500 37
reservoir_sample 256 7500 42
reservoir_sample_std 256 7500 39
reservoir_sample_std_iterator 256 7500 38
reservoir_sample 512 7500 67
reservoir_sample_std 512 7500 42
reservoir_sample_std_iterator 512 7500 40
reservoir_sample 1024 7500 101
reservoir_sample_std 1024 7500 47
reservoir_sample_std_iterator 1024 7500 45
reservoir_sample 2048 7500 137
reservoir_sample_std 2048 7500 56
reservoir_sample_std_iterator 2048 7500 53
reservoir_sample 1 10000 0
reservoir_sample_std 1 10000 24
reservoir_sample_std_iterator 1 10000 24
reservoir_sample 2 10000 0
reservoir_sample_std 2 10000 36
reservoir_sample_std_iterator 2 10000 31
reservoir_sample 4 10000 1
reservoir_sample_std 4 10000 39
reservoir_sample_std_iterator 4 10000 43
reservoir_sample 8 10000 2
reservoir_sample_std 8 10000 44
reservoir_sample_std_iterator 8 10000 43
reservoir_sample 16 10000 5
reservoir_sample_std 16 10000 46
reservoir_sample_std_iterator 16 10000 46
reservoir_sample 32 10000 9
reservoir_sample_std 32 10000 47
reservoir_sample_std_iterator 32 10000 47
reservoir_sample 64 10000 15
reservoir_sample_std 64 10000 50
reservoir_sample_std_iterator 64 10000 48
reservoir_sample 128 10000 28
reservoir_sample_std 128 10000 53
reservoir_sample_std_iterator 128 10000 50
reservoir_sample 256 10000 46
reservoir_sample_std 256 10000 51
reservoir_sample_std_iterator 256 10000 50
reservoir_sample 512 10000 75
reservoir_sample_std 512 10000 56
reservoir_sample_std_iterator 512 10000 53
reservoir_sample 1024 10000 116
reservoir_sample_std 1024 10000 60
reservoir_sample_std_iterator 1024 10000 58
reservoir_sample 2048 10000 165
reservoir_sample_std 2048 10000 69
reservoir_sample_std_iterator 2048 10000 66
reservoir_sample 1 12500 0
reservoir_sample_std 1 12500 32
reservoir_sample_std_iterator 1 12500 30
reservoir_sample 2 12500 0
reservoir_sample_std 2 12500 42
reservoir_sample_std_iterator 2 12500 41
reservoir_sample 4 12500 2
reservoir_sample_std 4 12500 75
reservoir_sample_std_iterator 4 12500 51
reservoir_sample 8 12500 2
reservoir_sample_std 8 12500 55
reservoir_sample_std_iterator 8 12500 54
reservoir_sample 16 12500 5
reservoir_sample_std 16 12500 59
reservoir_sample_std_iterator 16 12500 59
reservoir_sample 32 12500 9
reservoir_sample_std 32 12500 62
reservoir_sample_std_iterator 32 12500 61
reservoir_sample 64 12500 16
reservoir_sample_std 64 12500 62
reservoir_sample_std_iterator 64 12500 60
reservoir_sample 128 12500 29
reservoir_sample_std 128 12500 63
reservoir_sample_std_iterator 128 12500 61
reservoir_sample 256 12500 50
reservoir_sample_std 256 12500 71
reservoir_sample_std_iterator 256 12500 63
reservoir_sample 512 12500 86
reservoir_sample_std 512 12500 73
reservoir_sample_std_iterator 512 12500 66
reservoir_sample 1024 12500 127
reservoir_sample_std 1024 12500 74
reservoir_sample_std_iterator 1024 12500 74
reservoir_sample 2048 12500 204
reservoir_sample_std 2048 12500 84
reservoir_sample_std_iterator 2048 12500 81
reservoir_sample 1 15000 0
reservoir_sample_std 1 15000 38
reservoir_sample_std_iterator 1 15000 36
reservoir_sample 2 15000 0
reservoir_sample_std 2 15000 51
reservoir_sample_std_iterator 2 15000 49
reservoir_sample 4 15000 1
reservoir_sample_std 4 15000 59
reservoir_sample_std_iterator 4 15000 59
reservoir_sample 8 15000 2
reservoir_sample_std 8 15000 66
reservoir_sample_std_iterator 8 15000 65
reservoir_sample 16 15000 5
reservoir_sample_std 16 15000 76
reservoir_sample_std_iterator 16 15000 81
reservoir_sample 32 15000 9
reservoir_sample_std 32 15000 74
reservoir_sample_std_iterator 32 15000 73
reservoir_sample 64 15000 17
reservoir_sample_std 64 15000 75
reservoir_sample_std_iterator 64 15000 74
reservoir_sample 128 15000 30
reservoir_sample_std 128 15000 76
reservoir_sample_std_iterator 128 15000 74
reservoir_sample 256 15000 50
reservoir_sample_std 256 15000 77
reservoir_sample_std_iterator 256 15000 75
reservoir_sample 512 15000 85
reservoir_sample_std 512 15000 80
reservoir_sample_std_iterator 512 15000 78
reservoir_sample 1024 15000 136
reservoir_sample_std 1024 15000 86
reservoir_sample_std_iterator 1024 15000 83
reservoir_sample 2048 15000 204
reservoir_sample_std 2048 15000 98
reservoir_sample_std_iterator 2048 15000 91
reservoir_sample 1 17500 0
reservoir_sample_std 1 17500 44
reservoir_sample_std_iterator 1 17500 42
reservoir_sample 2 17500 0
reservoir_sample_std 2 17500 61
reservoir_sample_std_iterator 2 17500 59
reservoir_sample 4 17500 1
reservoir_sample_std 4 17500 71
reservoir_sample_std_iterator 4 17500 70
reservoir_sample 8 17500 3
reservoir_sample_std 8 17500 78
reservoir_sample_std_iterator 8 17500 77
reservoir_sample 16 17500 5
reservoir_sample_std 16 17500 83
reservoir_sample_std_iterator 16 17500 81
reservoir_sample 32 17500 9
reservoir_sample_std 32 17500 85
reservoir_sample_std_iterator 32 17500 84
reservoir_sample 64 17500 17
reservoir_sample_std 64 17500 87
reservoir_sample_std_iterator 64 17500 85
reservoir_sample 128 17500 30
reservoir_sample_std 128 17500 88
reservoir_sample_std_iterator 128 17500 87
reservoir_sample 256 17500 52
reservoir_sample_std 256 17500 90
reservoir_sample_std_iterator 256 17500 88
reservoir_sample 512 17500 88
reservoir_sample_std 512 17500 93
reservoir_sample_std_iterator 512 17500 91
reservoir_sample 1024 17500 142
reservoir_sample_std 1024 17500 104
reservoir_sample_std_iterator 1024 17500 97
reservoir_sample 2048 17500 220
reservoir_sample_std 2048 17500 109
reservoir_sample_std_iterator 2048 17500 104
reservoir_sample 1 20000 0
reservoir_sample_std 1 20000 51
reservoir_sample_std_iterator 1 20000 53
reservoir_sample 2 20000 0
reservoir_sample_std 2 20000 70
reservoir_sample_std_iterator 2 20000 66
reservoir_sample 4 20000 1
reservoir_sample_std 4 20000 82
reservoir_sample_std_iterator 4 20000 84
reservoir_sample 8 20000 3
reservoir_sample_std 8 20000 91
reservoir_sample_std_iterator 8 20000 89
reservoir_sample 16 20000 5
reservoir_sample_std 16 20000 96
reservoir_sample_std_iterator 16 20000 94
reservoir_sample 32 20000 10
reservoir_sample_std 32 20000 99
reservoir_sample_std_iterator 32 20000 97
reservoir_sample 64 20000 17
reservoir_sample_std 64 20000 108
reservoir_sample_std_iterator 64 20000 111
reservoir_sample 128 20000 31
reservoir_sample_std 128 20000 102
reservoir_sample_std_iterator 128 20000 100
reservoir_sample 256 20000 54
reservoir_sample_std 256 20000 104
reservoir_sample_std_iterator 256 20000 102
reservoir_sample 512 20000 92
reservoir_sample_std 512 20000 107
reservoir_sample_std_iterator 512 20000 107
reservoir_sample 1024 20000 153
reservoir_sample_std 1024 20000 119
reservoir_sample_std_iterator 1024 20000 109
reservoir_sample 2048 20000 230
reservoir_sample_std 2048 20000 122
reservoir_sample_std_iterator 2048 20000 118
reservoir_sample 1 25000 0
reservoir_sample_std 1 25000 70
reservoir_sample_std_iterator 1 25000 66
reservoir_sample 2 25000 0
reservoir_sample_std 2 25000 91
reservoir_sample_std_iterator 2 25000 87
reservoir_sample 4 25000 1
reservoir_sample_std 4 25000 107
reservoir_sample_std_iterator 4 25000 103
reservoir_sample 8 25000 3
reservoir_sample_std 8 25000 115
reservoir_sample_std_iterator 8 25000 115
reservoir_sample 16 25000 5
reservoir_sample_std 16 25000 123
reservoir_sample_std_iterator 16 25000 121
reservoir_sample 32 25000 10
reservoir_sample_std 32 25000 127
reservoir_sample_std_iterator 32 25000 124
reservoir_sample 64 25000 18
reservoir_sample_std 64 25000 128
reservoir_sample_std_iterator 64 25000 128
reservoir_sample 128 25000 43
reservoir_sample_std 128 25000 154
reservoir_sample_std_iterator 128 25000 131
reservoir_sample 256 25000 58
reservoir_sample_std 256 25000 132
reservoir_sample_std_iterator 256 25000 130
reservoir_sample 512 25000 97
reservoir_sample_std 512 25000 135
reservoir_sample_std_iterator 512 25000 132
reservoir_sample 1024 25000 160
reservoir_sample_std 1024 25000 141
reservoir_sample_std_iterator 1024 25000 137
reservoir_sample 2048 25000 252
reservoir_sample_std 2048 25000 151
reservoir_sample_std_iterator 2048 25000 146
reservoir_sample 1 30000 0
reservoir_sample_std 1 30000 86
reservoir_sample_std_iterator 1 30000 85
reservoir_sample 2 30000 1
reservoir_sample_std 2 30000 110
reservoir_sample_std_iterator 2 30000 109
reservoir_sample 4 30000 1
reservoir_sample_std 4 30000 133
reservoir_sample_std_iterator 4 30000 127
reservoir_sample 8 30000 3
reservoir_sample_std 8 30000 146
reservoir_sample_std_iterator 8 30000 141
reservoir_sample 16 30000 5
reservoir_sample_std 16 30000 153
reservoir_sample_std_iterator 16 30000 149
reservoir_sample 32 30000 10
reservoir_sample_std 32 30000 174
reservoir_sample_std_iterator 32 30000 155
reservoir_sample 64 30000 19
reservoir_sample_std 64 30000 159
reservoir_sample_std_iterator 64 30000 156
reservoir_sample 128 30000 33
reservoir_sample_std 128 30000 161
reservoir_sample_std_iterator 128 30000 158
reservoir_sample 256 30000 59
reservoir_sample_std 256 30000 163
reservoir_sample_std_iterator 256 30000 187
reservoir_sample 512 30000 147
reservoir_sample_std 512 30000 200
reservoir_sample_std_iterator 512 30000 205
reservoir_sample 1024 30000 222
reservoir_sample_std 1024 30000 200
reservoir_sample_std_iterator 1024 30000 168
reservoir_sample 2048 30000 320
reservoir_sample_std 2048 30000 183
reservoir_sample_std_iterator 2048 30000 177
reservoir_sample 0 100000 0
reservoir_sample_std 0 100000 10
reservoir_sample_std_iterator 0 100000 0
reservoir_sample 1000 100000 224
reservoir_sample_std 1000 100000 513
reservoir_sample_std_iterator 1000 100000 500
reservoir_sample 2000 100000 382
reservoir_sample_std 2000 100000 519
reservoir_sample_std_iterator 2000 100000 507
reservoir_sample 3000 100000 516
reservoir_sample_std 3000 100000 549
reservoir_sample_std_iterator 3000 100000 576
reservoir_sample 4000 100000 678
reservoir_sample_std 4000 100000 530
reservoir_sample_std_iterator 4000 100000 520
reservoir_sample 5000 100000 761
reservoir_sample_std 5000 100000 536
reservoir_sample_std_iterator 5000 100000 529
reservoir_sample 6000 100000 835
reservoir_sample_std 6000 100000 541
reservoir_sample_std_iterator 6000 100000 549
reservoir_sample 7000 100000 956
reservoir_sample_std 7000 100000 549
reservoir_sample_std_iterator 7000 100000 564
reservoir_sample 8000 100000 1021
reservoir_sample_std 8000 100000 553
reservoir_sample_std_iterator 8000 100000 545
reservoir_sample 9000 100000 1074
reservoir_sample_std 9000 100000 564
reservoir_sample_std_iterator 9000 100000 568
reservoir_sample 10000 100000 1198
reservoir_sample_std 10000 100000 566
reservoir_sample_std_iterator 10000 100000 593
reservoir_sample 11000 100000 1223
reservoir_sample_std 11000 100000 584
reservoir_sample_std_iterator 11000 100000 592
reservoir_sample 12000 100000 1281
reservoir_sample_std 12000 100000 583
reservoir_sample_std_iterator 12000 100000 574
reservoir_sample 13000 100000 1360
reservoir_sample_std 13000 100000 586
reservoir_sample_std_iterator 13000 100000 582
reservoir_sample 14000 100000 1383
reservoir_sample_std 14000 100000 592
reservoir_sample_std_iterator 14000 100000 583
reservoir_sample 15000 100000 1422
reservoir_sample_std 15000 100000 598
reservoir_sample_std_iterator 15000 100000 592
reservoir_sample 16000 100000 1471
reservoir_sample_std 16000 100000 607
reservoir_sample_std_iterator 16000 100000 607
reservoir_sample 17000 100000 1528
reservoir_sample_std 17000 100000 647
reservoir_sample_std_iterator 17000 100000 630
reservoir_sample 18000 100000 1561
reservoir_sample_std 18000 100000 622
reservoir_sample_std_iterator 18000 100000 611
reservoir_sample 19000 100000 1636
reservoir_sample_std 19000 100000 627
reservoir_sample_std_iterator 19000 100000 617
reservoir_sample 20000 100000 1625
reservoir_sample_std 20000 100000 634
reservoir_sample_std_iterator 20000 100000 623
reservoir_sample 21000 100000 1658
reservoir_sample_std 21000 100000 641
reservoir_sample_std_iterator 21000 100000 631
reservoir_sample 22000 100000 1687
reservoir_sample_std 22000 100000 649
reservoir_sample_std_iterator 22000 100000 638
reservoir_sample 23000 100000 1719
reservoir_sample_std 23000 100000 656
reservoir_sample_std_iterator 23000 100000 646
reservoir_sample 24000 100000 1742
reservoir_sample_std 24000 100000 664
reservoir_sample_std_iterator 24000 100000 655
reservoir_sample 25000 100000 1766
reservoir_sample_std 25000 100000 672
reservoir_sample_std_iterator 25000 100000 662
reservoir_sample 26000 100000 1791
reservoir_sample_std 26000 100000 680
reservoir_sample_std_iterator 26000 100000 670
reservoir_sample 27000 100000 1816
reservoir_sample_std 27000 100000 688
reservoir_sample_std_iterator 27000 100000 677
reservoir_sample 28000 100000 1834
reservoir_sample_std 28000 100000 695
reservoir_sample_std_iterator 28000 100000 683
reservoir_sample 29000 100000 1847
reservoir_sample_std 29000 100000 703
reservoir_sample_std_iterator 29000 100000 692
reservoir_sample 30000 100000 1857
reservoir_sample_std 30000 100000 711
reservoir_sample_std_iterator 30000 100000 699
reservoir_sample 31000 100000 1866
reservoir_sample_std 31000 100000 719
reservoir_sample_std_iterator 31000 100000 707
reservoir_sample 32000 100000 1874
reservoir_sample_std 32000 100000 727
reservoir_sample_std_iterator 32000 100000 715
reservoir_sample 33000 100000 1885
reservoir_sample_std 33000 100000 736
reservoir_sample_std_iterator 33000 100000 724
reservoir_sample 34000 100000 1890
reservoir_sample_std 34000 100000 743
reservoir_sample_std_iterator 34000 100000 730
reservoir_sample 35000 100000 1918
reservoir_sample_std 35000 100000 760
reservoir_sample_std_iterator 35000 100000 738
reservoir_sample 36000 100000 1917
reservoir_sample_std 36000 100000 761
reservoir_sample_std_iterator 36000 100000 747
reservoir_sample 37000 100000 1925
reservoir_sample_std 37000 100000 768
reservoir_sample_std_iterator 37000 100000 755
reservoir_sample 38000 100000 1989
reservoir_sample_std 38000 100000 776
reservoir_sample_std_iterator 38000 100000 761
